"dteday","season","yr","mnth","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","casual","registered","cnt"
"2011-03-17","winter",0,"March","No","Thursday","Yes","Good",11.505,11.081978,0.602917,14.041793,424,2320,2744
"2011-03-18","winter",0,"March","No","Friday","Yes","Good",17.38,18.782594,0.525217,15.478139,884,2355,3239
"2011-03-19","winter",0,"March","No","Saturday","No","Good",14.2075,14.79065,0.379167,24.667189,1424,1693,3117
"2011-03-20","winter",0,"March","No","Sunday","No","Good",7.6275,5.4995,0.47375,13.917307,1047,1424,2471
"2011-03-21","spring",0,"March","No","Monday","Yes","Moderate",12.230445,11.04251,0.737391,19.348461,401,1676,2077
"2011-03-22","spring",0,"March","No","Tuesday","Yes","Good",12.758349,13.082372,0.624583,15.12525,460,2243,2703
"2011-03-23","spring",0,"March","No","Wednesday","Yes","Moderate",8.306979,6.303974,0.839565,15.695487,203,1918,2121
"2011-03-24","spring",0,"March","No","Thursday","Yes","Moderate",5.395,1.874978,0.805833,16.333729,166,1699,1865
"2011-03-25","spring",0,"March","No","Friday","Yes","Good",4.415849,0.916591999999998,0.495,15.458575,300,1910,2210
"2011-03-26","spring",0,"March","No","Saturday","No","Good",4.494151,0.999686,0.394167,14.041257,981,1515,2496
"2011-03-27","spring",0,"March","No","Sunday","No","Moderate",3.893021,0.522373999999999,0.493913,12.3481,472,1221,1693
"2011-03-28","spring",0,"March","No","Monday","Yes","Good",4.424356,0.999884000000002,0.302174,14.217668,222,1806,2028
"2011-03-29","spring",0,"March","No","Tuesday","Yes","Good",6.2175,3.331928,0.314167,15.208732,317,2108,2425
"2011-03-30","spring",0,"March","No","Wednesday","Yes","Moderate",6.1,3.6251,0.646667,11.583496,168,1368,1536
"2011-03-31","spring",0,"March","No","Thursday","Yes","Bad",4.611651,0.999949999999998,0.918333,14.582282,179,1506,1685
"2011-04-01","spring",0,"April","No","Friday","Yes","Moderate",6.1,2.707964,0.68625,17.333436,307,1920,2227
"2011-04-02","spring",0,"April","No","Saturday","No","Moderate",6.805,4.832042,0.65375,13.208782,898,1354,2252
"2011-04-03","spring",0,"April","No","Sunday","No","Good",9.781651,8.998622,0.48,12.208271,1651,1598,3249
"2011-04-04","spring",0,"April","No","Monday","Yes","Good",18.946651,19.833314,0.42625,25.833257,734,2381,3115
"2011-04-05","spring",0,"April","No","Tuesday","Yes","Moderate",11.465849,10.2911,0.642083,26.000489,167,1628,1795
"2011-04-06","spring",0,"April","No","Wednesday","Yes","Good",10.369151,9.582128,0.470833,17.625221,413,2395,2808
"2011-04-07","spring",0,"April","No","Thursday","Yes","Good",12.5625,12.623936,0.602917,10.874904,571,2570,3141
"2011-04-08","spring",0,"April","No","Friday","Yes","Moderate",7.784151,5.415614,0.83625,15.208464,172,1299,1471
"2011-04-09","spring",0,"April","No","Saturday","No","Moderate",8.0975,6.540914,0.8775,8.916561,879,1576,2455
"2011-04-10","spring",0,"April","No","Sunday","No","Moderate",12.053349,12.164642,0.8575,9.833389,1188,1707,2895
"2011-04-11","spring",0,"April","No","Monday","Yes","Moderate",19.995644,21.304322,0.716956,21.739758,855,2493,3348
"2011-04-12","spring",0,"April","No","Tuesday","Yes","Moderate",15.6175,16.541564,0.739167,18.416893,257,1777,2034
"2011-04-13","spring",0,"April","No","Wednesday","Yes","Moderate",11.3875,11.540678,0.819167,16.791339,209,1953,2162
"2011-04-14","spring",0,"April","No","Thursday","Yes","Good",13.9725,14.540972,0.540417,7.4169,529,2738,3267
"2011-04-15","spring",0,"April","Yes","Friday","No","Good",12.993349,13.166258,0.67125,15.167125,642,2484,3126
"2011-04-16","spring",0,"April","No","Saturday","No","Bad",12.249151,12.082472,0.888333,22.834136,121,674,795
"2011-04-17","spring",0,"April","No","Sunday","No","Good",13.463349,13.415936,0.479583,20.334232,1558,2186,3744
"2011-04-18","spring",0,"April","No","Monday","Yes","Good",16.0875,17.207636,0.5425,10.958989,669,2760,3429
"2011-04-19","spring",0,"April","No","Tuesday","Yes","Moderate",15.774151,16.291028,0.665833,10.584057,409,2795,3204
"2011-04-20","spring",0,"April","No","Wednesday","Yes","Good",19.965,21.249872,0.614167,16.208975,613,3331,3944
"2011-04-21","spring",0,"April","No","Thursday","Yes","Good",13.580849,13.956872,0.407083,21.792286,745,3444,4189
"2011-04-22","spring",0,"April","No","Friday","Yes","Moderate",7.823349,5.248964,0.729583,14.707907,177,1506,1683
"2011-04-23","spring",0,"April","No","Saturday","No","Moderate",13.62,13.707986,0.887917,15.458575,1462,2574,4036
"2011-04-24","spring",0,"April","No","Sunday","No","Moderate",19.338349,20.416358,0.810833,12.875725,1710,2481,4191
"2011-04-25","spring",0,"April","No","Monday","Yes","Good",20.513349,21.917,0.776667,12.417311,773,3300,4073
"2011-04-26","spring",0,"April","No","Tuesday","Yes","Good",21.688349,23.209478,0.729167,21.8755,678,3722,4400
"2011-04-27","spring",0,"April","No","Wednesday","Yes","Moderate",21.14,21.959372,0.835417,20.9174,547,3325,3872
"2011-04-28","spring",0,"April","No","Thursday","Yes","Moderate",21.0225,22.209314,0.700833,21.500836,569,3489,4058
"2011-04-29","spring",0,"April","No","Friday","Yes","Good",15.97,16.832558,0.457083,16.084221,878,3717,4595
"2011-04-30","spring",0,"April","No","Saturday","No","Good",14.2075,14.625386,0.503333,15.750025,1965,3347,5312
"2011-05-01","spring",0,"May","No","Sunday","No","Moderate",13.228349,13.581464,0.762083,7.125718,1138,2213,3351
"2011-05-02","spring",0,"May","No","Monday","Yes","Moderate",17.810849,19.166978,0.73,12.291418,847,3554,4401
"2011-05-03","spring",0,"May","No","Tuesday","Yes","Moderate",20.983349,22.417214,0.697083,22.958689,603,3848,4451
"2011-05-04","spring",0,"May","No","Wednesday","Yes","Moderate",11.465849,10.7069,0.737083,22.042732,255,2378,2633
"2011-05-05","spring",0,"May","No","Thursday","Yes","Good",13.580849,13.166522,0.444167,19.791264,614,3819,4433
"2011-05-06","spring",0,"May","No","Friday","Yes","Good",14.520849,15.291722,0.59,15.292482,894,3714,4608
"2011-05-07","spring",0,"May","No","Saturday","No","Good",16.44,17.832986,0.54125,10.75015,1612,3102,4714
"2011-05-08","spring",0,"May","No","Sunday","No","Good",16.831651,18.249578,0.631667,5.0007125,1401,2932,4333
"2011-05-09","spring",0,"May","No","Monday","Yes","Good",17.0275,18.666236,0.58875,11.792,664,3698,4362
"2011-05-10","spring",0,"May","No","Tuesday","Yes","Good",17.0275,18.499586,0.489167,7.749957,694,4109,4803
"2011-05-11","spring",0,"May","No","Wednesday","Yes","Good",17.4975,18.8744,0.632917,8.083014,550,3632,4182
"2011-05-12","spring",0,"May","No","Thursday","Yes","Good",17.145,18.541958,0.7475,12.707689,695,4169,4864
"2011-05-13","spring",0,"May","No","Friday","Yes","Moderate",16.0875,16.6238,0.863333,12.041575,692,3413,4105
"2011-05-14","spring",0,"May","No","Saturday","No","Moderate",16.479151,17.041514,0.9225,9.04165,902,2507,3409
"2011-05-15","spring",0,"May","No","Sunday","No","Moderate",18.4375,19.376,0.867083,10.249593,1582,2971,4553
"2011-05-16","spring",0,"May","No","Monday","Yes","Good",19.1425,20.333792,0.787917,8.500357,773,3185,3958
"2011-05-17","spring",0,"May","No","Tuesday","Yes","Moderate",18.398349,19.542914,0.837917,18.582718,678,3445,4123
"2011-05-18","spring",0,"May","No","Wednesday","Yes","Moderate",17.85,18.792428,0.87,13.499964,536,3319,3855
"2011-05-19","spring",0,"May","No","Thursday","Yes","Moderate",16.949151,17.708972,0.829583,7.250271,735,3840,4575
"2011-05-20","spring",0,"May","No","Friday","Yes","Good",17.223349,18.916772,0.719583,8.375871,909,4008,4917
"2011-05-21","spring",0,"May","No","Saturday","No","Good",20.3175,21.75035,0.626667,8.08355,2258,3547,5805
"2011-05-22","spring",0,"May","No","Sunday","No","Good",20.395849,21.917,0.749583,9.916536,1576,3084,4660
"2011-05-23","spring",0,"May","No","Monday","Yes","Moderate",21.688349,22.959536,0.81,15.667414,836,3438,4274
"2011-05-24","spring",0,"May","No","Tuesday","Yes","Moderate",23.02,23.917658,0.740833,13.875164,659,3833,4492
"2011-05-25","spring",0,"May","No","Wednesday","Yes","Good",23.059151,24.625772,0.69625,10.333611,740,4238,4978
"2011-05-26","spring",0,"May","No","Thursday","Yes","Good",25.291651,27.209408,0.6775,13.376014,758,3919,4677
"2011-05-27","spring",0,"May","No","Friday","Yes","Good",24.038349,26.042528,0.65375,16.125493,871,3808,4679
"2011-05-28","spring",0,"May","No","Saturday","No","Good",22.824151,24.417014,0.729583,15.416164,2001,2757,4758
"2011-05-29","spring",0,"May","No","Sunday","No","Good",23.3725,24.6263,0.81875,14.333846,2355,2433,4788
"2011-05-30","spring",0,"May","Yes","Monday","No","Good",26.466651,28.292072,0.685,8.792075,1549,2549,4098
"2011-05-31","spring",0,"May","No","Tuesday","Yes","Good",28.425,31.875278,0.636667,7.459043,673,3309,3982
"2011-06-01","spring",0,"June","No","Wednesday","Yes","Moderate",27.915849,31.583822,0.677083,13.875164,513,3461,3974
"2011-06-02","spring",0,"June","No","Thursday","Yes","Good",25.605,26.500172,0.305,19.583229,736,4232,4968
"2011-06-03","spring",0,"June","No","Friday","Yes","Good",21.14,22.750778,0.354167,16.959107,898,4414,5312
"2011-06-04","spring",0,"June","No","Saturday","No","Good",21.845,23.249936,0.45625,8.250514,1869,3473,5342
"2011-06-05","spring",0,"June","No","Sunday","No","Moderate",22.471651,24.709064,0.6525,9.292364,1685,3221,4906
"2011-06-06","spring",0,"June","No","Monday","Yes","Good",23.881651,25.042628,0.6,8.167032,673,3875,4548
"2011-06-07","spring",0,"June","No","Tuesday","Yes","Good",25.2525,27.2927,0.597917,12.583136,763,4070,4833
"2011-06-08","spring",0,"June","No","Wednesday","Yes","Good",28.464151,32.000414,0.622083,9.166739,676,3725,4401
"2011-06-09","spring",0,"June","No","Thursday","Yes","Moderate",29.991651,34.000214,0.568333,10.042161,563,3352,3915
"2011-06-10","spring",0,"June","No","Friday","Yes","Good",27.485,30.417272,0.605,9.417118,815,3771,4586
"2011-06-11","spring",0,"June","No","Saturday","No","Good",26.075,28.750508,0.654583,10.37495,1729,3237,4966
"2011-06-12","spring",0,"June","No","Sunday","No","Good",24.5475,26.45945,0.747917,10.958989,1467,2993,4460
"2011-06-13","spring",0,"June","No","Monday","Yes","Good",21.845,23.709164,0.494583,20.45845,863,4157,5020
"2011-06-14","spring",0,"June","No","Tuesday","Yes","Good",20.395849,23.042036,0.507083,18.041961,727,4164,4891
"2011-06-15","spring",0,"June","No","Wednesday","Yes","Good",21.453349,22.791764,0.471667,11.250104,769,4411,5180
"2011-06-16","spring",0,"June","No","Thursday","Yes","Moderate",21.531651,23.292836,0.688333,13.833557,545,3222,3767
"2011-06-17","spring",0,"June","No","Friday","Yes","Good",22.510849,23.625278,0.735833,9.582943,863,3981,4844
"2011-06-18","spring",0,"June","No","Saturday","No","Good",24.743349,26.500964,0.670417,8.000336,1807,3312,5119
"2011-06-19","spring",0,"June","No","Sunday","No","Moderate",24.860849,26.625836,0.666667,6.834,1639,3105,4744
"2011-06-20","spring",0,"June","No","Monday","Yes","Moderate",21.845,23.292836,0.74625,10.416825,699,3311,4010
"2011-06-21","summer",0,"June","No","Tuesday","Yes","Moderate",23.999151,26.084636,0.770417,11.458675,774,4061,4835
"2011-06-22","summer",0,"June","No","Wednesday","Yes","Good",26.466651,29.792714,0.7075,11.541554,661,3846,4507
"2011-06-23","summer",0,"June","No","Thursday","Yes","Moderate",26.231651,29.792978,0.703333,15.999868,746,4044,4790
"2011-06-24","summer",0,"June","No","Friday","Yes","Good",26.035849,27.334478,0.573333,14.875675,969,4022,4991
"2011-06-25","summer",0,"June","No","Saturday","No","Good",24.665,26.458658,0.483333,14.041257,1782,3420,5202
"2011-06-26","summer",0,"June","No","Sunday","No","Good",23.96,26.083514,0.513333,6.3337311,1920,3385,5305
"2011-06-27","summer",0,"June","No","Monday","Yes","Moderate",24.0775,26.042264,0.658333,7.208396,854,3854,4708
"2011-06-28","summer",0,"June","No","Tuesday","Yes","Good",26.975849,29.708828,0.634167,9.666961,732,3916,4648
"2011-06-29","summer",0,"June","No","Wednesday","Yes","Good",26.231651,27.209408,0.497917,17.542007,848,4377,5225
"2011-06-30","summer",0,"June","No","Thursday","Yes","Good",24.743349,26.042528,0.434167,12.415904,1027,4488,5515
"2011-07-01","summer",0,"July","No","Friday","Yes","Good",25.9575,27.042692,0.39625,6.874736,1246,4116,5362
"2011-07-02","summer",0,"July","No","Saturday","No","Good",26.701651,28.042328,0.444583,7.709154,2204,2915,5119
"2011-07-03","summer",0,"July","No","Sunday","No","Moderate",25.683349,28.12595,0.6825,15.333486,2282,2367,4649
"2011-07-04","summer",0,"July","Yes","Monday","No","Moderate",26.153349,27.917522,0.637917,5.4591064,3065,2978,6043
"2011-07-05","summer",0,"July","No","Tuesday","Yes","Good",27.093349,29.958308,0.590417,8.459286,1031,3634,4665
"2011-07-06","summer",0,"July","No","Wednesday","Yes","Good",25.84,29.251778,0.743333,10.042161,784,3845,4629
"2011-07-07","summer",0,"July","No","Thursday","Yes","Good",27.25,29.333486,0.65125,10.6664,754,3838,4592
"2011-07-08","summer",0,"July","No","Friday","Yes","Moderate",25.330849,28.251878,0.757917,15.083643,692,3348,4040
"2011-07-09","summer",0,"July","No","Saturday","No","Good",26.466651,27.834428,0.609167,11.250104,1988,3348,5336
"2011-07-10","summer",0,"July","No","Sunday","No","Good",27.1325,29.54165,0.578333,12.292557,1743,3138,4881
"2011-07-11","summer",0,"July","No","Monday","Yes","Good",27.8375,32.167064,0.635833,18.916579,723,3363,4086
"2011-07-12","summer",0,"July","No","Tuesday","Yes","Good",29.325849,32.79215,0.559167,13.417018,662,3596,4258
"2011-07-13","summer",0,"July","No","Wednesday","Yes","Good",27.093349,29.500664,0.631667,9.790911,748,3594,4342
"2011-07-14","summer",0,"July","No","Thursday","Yes","Good",23.999151,25.916864,0.47625,16.124689,888,4196,5084
"2011-07-15","summer",0,"July","No","Friday","Yes","Good",23.176651,25.208486,0.59125,12.249811,1318,4220,5538
"2011-07-16","summer",0,"July","No","Saturday","No","Good",24.273349,26.125358,0.585,13.958914,2418,3505,5923
"2011-07-17","summer",0,"July","No","Sunday","No","Good",25.800849,28.208978,0.604167,16.417211,2006,3296,5302
"2011-07-18","summer",0,"July","No","Monday","Yes","Good",27.093349,30.45905,0.65125,14.458868,841,3617,4458
"2011-07-19","summer",0,"July","No","Tuesday","Yes","Good",28.503349,33.333614,0.650417,8.7502,752,3789,4541
"2011-07-20","summer",0,"July","No","Wednesday","Yes","Good",28.111651,33.2921,0.707083,7.625739,644,3688,4332
"2011-07-21","summer",0,"July","No","Thursday","Yes","Moderate",30.305,38.540486,0.69125,14.875407,632,3152,3784
"2011-07-22","summer",0,"July","No","Friday","Yes","Good",31.871651,39.499136,0.580417,8.9177,562,2825,3387
"2011-07-23","summer",0,"July","No","Saturday","No","Good",31.910849,37.082942,0.5,8.791807,987,2298,3285
"2011-07-24","summer",0,"July","No","Sunday","No","Good",31.01,36.458714,0.550833,11.334457,1050,2556,3606
"2011-07-25","summer",0,"July","No","Monday","Yes","Good",26.936651,31.583228,0.757083,6.0841561,568,3272,3840
"2011-07-26","summer",0,"July","No","Tuesday","Yes","Good",28.268349,30.000614,0.540833,13.417286,750,3840,4590
"2011-07-27","summer",0,"July","No","Wednesday","Yes","Good",28.425,29.584022,0.402917,12.292021,755,3901,4656
"2011-07-28","summer",0,"July","No","Thursday","Yes","Good",28.620849,32.8334,0.583333,11.958093,606,3784,4390
"2011-07-29","summer",0,"July","No","Friday","Yes","Good",31.401651,35.873822,0.5425,11.667246,670,3176,3846
"2011-07-30","summer",0,"July","No","Saturday","No","Good",29.795849,32.083442,0.465833,11.291979,1559,2916,4475
"2011-07-31","summer",0,"July","No","Sunday","No","Good",29.874151,32.166536,0.480833,11.042471,1524,2778,4302
"2011-08-01","summer",0,"August","No","Monday","Yes","Good",28.268349,30.417272,0.550833,10.500039,729,3537,4266
"2011-08-02","summer",0,"August","No","Tuesday","Yes","Good",28.816651,30.666686,0.49125,13.79195,801,4044,4845
"2011-08-03","summer",0,"August","No","Wednesday","Yes","Moderate",26.388349,28.875842,0.6575,9.084061,467,3107,3574
"2011-08-04","summer",0,"August","No","Thursday","Yes","Moderate",25.37,27.876008,0.7575,13.20905,799,3777,4576
"2011-08-05","summer",0,"August","No","Friday","Yes","Good",25.409151,27.333422,0.630833,12.374632,1023,3843,4866
"2011-08-06","summer",0,"August","No","Saturday","No","Moderate",25.683349,28.626164,0.755,15.29275,1521,2773,4294
"2011-08-07","summer",0,"August","No","Sunday","No","Good",26.8975,31.209272,0.752917,13.499629,1298,2487,3785
"2011-08-08","summer",0,"August","No","Monday","Yes","Good",27.955,30.416678,0.592083,12.875725,846,3480,4326
"2011-08-09","summer",0,"August","No","Tuesday","Yes","Good",28.425,31.791986,0.570417,10.125107,907,3695,4602
"2011-08-10","summer",0,"August","No","Wednesday","Yes","Good",28.033349,29.208878,0.424167,13.417286,884,3896,4780
"2011-08-11","summer",0,"August","No","Thursday","Yes","Good",25.7225,27.000386,0.42375,11.041332,812,3980,4792
"2011-08-12","summer",0,"August","No","Friday","Yes","Good",25.291651,27.166772,0.415,8.416607,1051,3854,4905
"2011-08-13","summer",0,"August","No","Saturday","No","Moderate",24.234151,26.626628,0.729583,14.167418,1504,2646,4150
"2011-08-14","summer",0,"August","No","Sunday","No","Moderate",23.803349,25.209608,0.8175,14.916411,1338,2482,3820
"2011-08-15","summer",0,"August","No","Monday","Yes","Good",23.294151,24.667022,0.712083,13.999918,775,3563,4338
"2011-08-16","summer",0,"August","No","Tuesday","Yes","Good",24.939151,26.625242,0.578333,15.834043,721,4004,4725
"2011-08-17","summer",0,"August","No","Wednesday","Yes","Good",25.996651,28.000286,0.575417,9.625689,668,4026,4694
"2011-08-18","summer",0,"August","No","Thursday","Yes","Good",25.448349,27.709028,0.654583,15.624936,639,3166,3805
"2011-08-19","summer",0,"August","No","Friday","Yes","Moderate",24.195,25.792586,0.722917,9.333636,797,3356,4153
"2011-08-20","summer",0,"August","No","Saturday","No","Good",24.7825,26.833736,0.674167,6.999289,1914,3277,5191
"2011-08-21","summer",0,"August","No","Sunday","No","Good",25.409151,28.58465,0.77,16.666518,1249,2624,3873
"2011-08-22","summer",0,"August","No","Monday","Yes","Good",24.508349,26.124764,0.47,18.54225,833,3925,4758
"2011-08-23","summer",0,"August","No","Tuesday","Yes","Good",22.119151,24.000422,0.455417,9.833121,1281,4614,5895
"2011-08-24","summer",0,"August","No","Wednesday","Yes","Good",23.646651,25.625672,0.605,16.958236,949,4181,5130
"2011-08-25","summer",0,"August","No","Thursday","Yes","Moderate",24.155849,26.626364,0.771667,14.125811,435,3107,3542
